id,student_id,type,hours,date,semester
1,1,实践,4.4,2025-10-28,初一上
2,1,阅读,1.5,2026-01-09,初一上
3,1,阅读,0.7,2025-10-01,初一上
4,1,实践,0.6,2026-01-08,初一上
5,1,实践,0.8,2026-03-11,初一下
6,1,社团,1.3,2026-03-24,初一下
7,1,体育,0.8,2025-11-03,初一上
8,1,社团,0.6,2026-06-04,初一下
9,1,阅读,2.3,2025-11-22,初一上
10,1,阅读,1.8,2025-09-10,初一上
11,1,体育,0.5,2025-09-30,初一上
12,1,体育,1.6,2026-04-12,初一下
13,2,社团,4.2,2026-05-20,初一下
14,2,实践,3.3,2026-05-21,初一下
15,2,体育,0.8,2026-05-02,初一下
16,2,社团,0.8,2026-06-22,初一下
17,2,体育,2.3,2026-05-14,初一下
18,2,阅读,1.7,2026-05-21,初一下
19,2,社团,0.6,2025-11-27,初一上
20,2,体育,1.3,2026-04-18,初一下
21,2,实践,3.5,2026-03-22,初一下
22,2,体育,2.7,2025-12-23,初一上
23,2,体育,2.4,2025-11-16,初一上
24,3,社团,1.0,2025-09-20,初一上
25,3,实践,2.2,2026-05-07,初一下
26,3,实践,2.3,2025-09-18,初一上
27,3,实践,2.4,2025-09-24,初一上
28,3,阅读,0.6,2026-05-22,初一下
29,3,阅读,2.6,2026-05-02,初一下
30,3,实践,1.0,2026-05-08,初一下
31,3,阅读,4.2,2025-09-16,初一上
32,3,体育,4.7,2025-09-11,初一上
33,3,实践,1.0,2025-12-31,初一上
34,3,实践,0.8,2026-04-24,初一下
35,3,体育,2.3,2026-04-08,初一下
36,3,实践,0.5,2026-01-10,初一上
37,3,实践,3.1,2025-11-16,初一上
38,3,实践,2.4,2025-10-19,初一上
39,3,实践,1.1,2026-04-18,初一下
40,4,阅读,1.4,2025-11-14,初一上
41,4,体育,5.7,2025-11-04,初一上
42,4,体育,4.6,2025-10-16,初一上
43,4,实践,1.6,2025-09-10,初一上
44,4,实践,3.2,2026-03-30,初一下
45,4,体育,0.6,2026-06-18,初一下
46,4,阅读,0.8,2026-03-03,初一下
47,4,体育,1.6,2025-11-12,初一上
48,4,体育,2.1,2026-04-21,初一下
49,4,实践,1.8,2025-10-05,初一上
50,5,体育,0.8,2026-04-02,初一下
51,5,体育,5.5,2026-06-05,初一下
52,5,体育,3.2,2026-03-10,初一下
53,5,体育,1.8,2026-01-05,初一上
54,5,阅读,0.7,2025-11-14,初一上
55,5,阅读,4.6,2025-09-30,初一上
56,5,实践,1.8,2025-10-09,初一上
57,5,实践,1.0,2025-10-13,初一上
58,5,体育,1.4,2025-10-23,初一上
59,5,体育,0.9,2025-10-28,初一上
60,5,实践,0.8,2025-09-24,初一上
61,5,实践,2.0,2026-05-05,初一下
62,5,体育,0.8,2025-10-12,初一上
63,5,社团,0.9,2026-01-18,初一上
64,5,社团,1.1,2025-12-07,初一上
65,5,体育,3.8,2026-05-04,初一下
66,5,体育,3.9,2026-03-28,初一下
67,5,实践,1.0,2025-09-30,初一上
68,6,体育,0.9,2026-03-05,初一下
69,6,阅读,2.3,2026-03-09,初一下
70,6,阅读,1.7,2025-10-26,初一上
71,6,社团,1.9,2025-09-30,初一上
72,6,体育,5.6,2026-05-01,初一下
73,6,体育,3.6,2025-11-22,初一上
74,6,体育,1.4,2025-09-29,初一上
75,6,实践,2.5,2025-10-23,初一上
76,6,阅读,1.8,2025-09-06,初一上
77,6,阅读,4.6,2025-11-09,初一上
78,6,体育,1.2,2026-05-21,初一下
79,6,实践,2.1,2026-02-23,初一下
80,6,体育,1.7,2026-03-07,初一下
81,6,社团,2.2,2026-06-28,初一下
82,6,实践,0.6,2026-05-27,初一下
83,6,社团,1.7,2026-03-02,初一下
84,6,体育,2.0,2026-06-12,初一下
85,7,实践,3.8,2025-09-24,初一上
86,7,体育,3.0,2025-11-20,初一上
87,7,阅读,2.1,2026-02-23,初一下
88,7,阅读,2.9,2025-12-07,初一上
89,7,体育,1.8,2025-09-16,初一上
90,7,体育,1.9,2026-05-29,初一下
91,7,社团,1.1,2026-02-21,初一下
92,7,阅读,1.6,2025-11-28,初一上
93,7,体育,0.7,2026-05-30,初一下
