id,student_id,title,level,date
1,1,艺术节金奖,省级,2025-11-28
2,1,运动会冠军,区级,2025-12-04
3,1,运动会冠军,市级,2026-07-04
4,2,科技节创新奖,市级,2026-02-20
5,2,学科竞赛一等奖,省级,2026-05-26
6,2,科技节创新奖,区级,2026-01-11
7,3,优秀志愿者,区级,2026-05-06
8,3,运动会冠军,校级,2026-01-14
9,3,艺术节金奖,省级,2025-10-22
10,4,作文比赛二等奖,校级,2026-04-30
11,5,学科竞赛一等奖,区级,2025-10-01
12,6,艺术节金奖,市级,2025-12-21
13,6,运动会冠军,区级,2026-05-06
14,6,英语演讲比赛三等奖,省级,2025-11-11
15,9,作文比赛二等奖,省级,2025-10-24
16,11,科技节创新奖,校级,2026-01-10
17,11,运动会冠军,省级,2025-12-28
18,11,科技节创新奖,市级,2025-12-19
19,13,运动会冠军,省级,2025-11-21
20,14,学科竞赛一等奖,省级,2025-11-14
21,14,学科竞赛一等奖,校级,2025-12-10
22,14,作文比赛二等奖,省级,2026-04-29
23,15,科技节创新奖,校级,2026-06-21
24,16,科技节创新奖,市级,2025-12-23
25,16,学科竞赛一等奖,区级,2026-05-01
26,17,艺术节金奖,区级,2026-07-04
27,18,作文比赛二等奖,省级,2026-05-14
28,19,作文比赛二等奖,校级,2026-04-09
29,20,运动会冠军,校级,2026-01-05
30,20,优秀志愿者,校级,2026-04-10
31,20,运动会冠军,区级,2025-09-03
32,23,运动会冠军,省级,2026-02-23
33,23,学科竞赛一等奖,市级,2025-11-05
34,24,英语演讲比赛三等奖,省级,2026-03-16
35,24,英语演讲比赛三等奖,区级,2026-01-02
36,24,英语演讲比赛三等奖,校级,2025-10-08
37,26,优秀志愿者,校级,2025-09-12
38,28,艺术节金奖,省级,2025-09-30
39,28,优秀志愿者,市级,2026-02-21
40,29,英语演讲比赛三等奖,区级,2026-01-12
41,29,运动会冠军,校级,2026-04-22
42,29,学科竞赛一等奖,省级,2026-03-16
43,31,艺术节金奖,区级,2026-01-12
44,32,作文比赛二等奖,区级,2025-10-13
45,33,科技节创新奖,市级,2025-12-27
46,33,运动会冠军,校级,2026-03-22
47,34,学科竞赛一等奖,校级,2025-11-21
48,34,学科竞赛一等奖,省级,2026-03-26
49,35,运动会冠军,省级,2026-06-08
50,35,优秀志愿者,省级,2026-06-15
51,35,英语演讲比赛三等奖,校级,2025-10-19
52,36,作文比赛二等奖,校级,2026-01-06
53,36,艺术节金奖,省级,2025-12-10
54,37,运动会冠军,省级,2025-11-25
55,38,优秀志愿者,区级,2026-05-06
56,38,英语演讲比赛三等奖,校级,2026-06-15
57,39,科技节创新奖,校级,2026-01-05
58,39,优秀志愿者,校级,2025-10-26
59,39,科技节创新奖,区级,2026-03-02
60,42,科技节创新奖,校级,2025-09-18
61,42,艺术节金奖,区级,2025-12-02
62,43,艺术节金奖,市级,2025-11-17
63,43,科技节创新奖,市级,2026-04-04
64,44,学科竞赛一等奖,省级,2025-11-10
65,44,英语演讲比赛三等奖,省级,2026-04-12
