id,student_id,subject,semester,dimension,score,grade
1,1,音乐,初一上,音乐素养,98.0,A+
2,1,音乐,初一上,演唱演奏,85.2,A-
3,1,音乐,初一上,节奏感知,75.5,B+
4,1,音乐,初一上,欣赏能力,76.2,B+
5,1,音乐,初一上,舞台表现,72.3,B
6,1,体育,初一上,体能素质,94.8,A+
7,1,体育,初一上,运动技能,82.0,A-
8,1,体育,初一上,协调能力,83.7,A-
9,1,体育,初一上,团队协作,87.5,A
10,1,体育,初一上,体育精神,85.3,A-
11,1,美术,初一上,艺术素养,67.2,B
12,1,美术,初一上,创作能力,82.5,A-
13,1,美术,初一上,审美感知,74.4,B+
14,1,美术,初一上,技法运用,98.0,A+
15,1,美术,初一上,艺术表达,76.7,B+
16,1,信息技术,初一上,信息素养,81.0,A-
17,1,信息技术,初一上,编程能力,89.5,A
18,1,信息技术,初一上,操作技能,82.6,A-
19,1,信息技术,初一上,创新应用,77.0,B+
20,1,信息技术,初一上,数字素养,77.5,B+
21,1,音乐,初一下,音乐素养,98.0,A+
22,1,音乐,初一下,演唱演奏,95.0,A+
23,1,音乐,初一下,节奏感知,83.6,A-
24,1,音乐,初一下,欣赏能力,84.4,A-
25,1,音乐,初一下,舞台表现,97.3,A+
26,1,体育,初一下,体能素质,91.3,A
27,1,体育,初一下,运动技能,77.6,B+
28,1,体育,初一下,协调能力,68.4,B
29,1,体育,初一下,团队协作,81.0,A-
30,1,体育,初一下,体育精神,74.5,B+
31,1,美术,初一下,艺术素养,97.7,A+
32,1,美术,初一下,创作能力,86.3,A-
33,1,美术,初一下,审美感知,78.2,B+
34,1,美术,初一下,技法运用,81.3,A-
35,1,美术,初一下,艺术表达,80.7,A-
36,1,信息技术,初一下,信息素养,82.1,A-
37,1,信息技术,初一下,编程能力,87.3,A
38,1,信息技术,初一下,操作技能,71.4,B
39,1,信息技术,初一下,创新应用,89.2,A
40,1,信息技术,初一下,数字素养,85.2,A-
41,2,音乐,初一上,音乐素养,62.8,B-
42,2,音乐,初一上,演唱演奏,54.1,C+
43,2,音乐,初一上,节奏感知,55.9,C+
44,2,音乐,初一上,欣赏能力,84.3,A-
45,2,音乐,初一上,舞台表现,68.4,B
46,2,体育,初一上,体能素质,90.2,A
47,2,体育,初一上,运动技能,79.2,B+
48,2,体育,初一上,协调能力,68.9,B
49,2,体育,初一上,团队协作,73.5,B+
