id,grade,class_name,subject,avg_score,max_score,count
1,初一,初一1班,历史,77.3,100.0,500
2,初一,初一1班,地理,77.3,100.0,500
3,初一,初一1班,数学,116.9,150.0,500
4,初一,初一1班,生物,77.3,100.0,500
5,初一,初一1班,英语,92.1,120.0,500
6,初一,初一1班,语文,115.9,150.0,500
7,初一,初一1班,道德与法治,76.4,100.0,500
8,初一,初一2班,历史,76.7,100.0,500
9,初一,初一2班,地理,76.9,100.0,500
10,初一,初一2班,数学,116.2,150.0,500
11,初一,初一2班,生物,76.9,100.0,500
12,初一,初一2班,英语,92.3,120.0,500
13,初一,初一2班,语文,115.0,150.0,500
14,初一,初一2班,道德与法治,77.2,100.0,500
15,初一,初一3班,历史,75.5,100.0,500
16,初一,初一3班,地理,75.8,100.0,500
17,初一,初一3班,数学,112.7,150.0,500
18,初一,初一3班,生物,74.8,100.0,500
19,初一,初一3班,英语,91.0,120.0,500
20,初一,初一3班,语文,113.7,150.0,500
21,初一,初一3班,道德与法治,74.7,100.0,500
22,初一,初一4班,历史,76.5,100.0,500
23,初一,初一4班,地理,75.9,100.0,500
24,初一,初一4班,数学,114.1,150.0,500
25,初一,初一4班,生物,76.8,100.0,500
26,初一,初一4班,英语,91.7,120.0,500
27,初一,初一4班,语文,114.7,150.0,500
28,初一,初一4班,道德与法治,75.9,100.0,500
29,初一,初一5班,历史,76.5,100.0,500
30,初一,初一5班,地理,77.4,100.0,500
31,初一,初一5班,数学,114.1,150.0,500
32,初一,初一5班,生物,76.2,100.0,500
33,初一,初一5班,英语,92.8,120.0,500
34,初一,初一5班,语文,114.7,150.0,500
35,初一,初一5班,道德与法治,75.7,100.0,500
36,初一,初一6班,历史,76.9,100.0,500
37,初一,初一6班,地理,76.8,100.0,500
38,初一,初一6班,数学,115.0,150.0,500
39,初一,初一6班,生物,76.5,100.0,500
40,初一,初一6班,英语,93.1,120.0,500
41,初一,初一6班,语文,115.3,150.0,500
42,初一,初一6班,道德与法治,76.7,100.0,500
43,初一,初一7班,历史,76.7,100.0,500
44,初一,初一7班,地理,76.7,100.0,500
45,初一,初一7班,数学,115.1,150.0,500
46,初一,初一7班,生物,76.3,100.0,500
47,初一,初一7班,英语,92.3,120.0,500
48,初一,初一7班,语文,116.2,150.0,500
49,初一,初一7班,道德与法治,76.5,100.0,500
50,初三,初三1班,历史,77.5,100.0,500
51,初三,初三1班,地理,76.7,100.0,500
52,初三,初三1班,数学,115.7,150.0,500
53,初三,初三1班,生物,77.4,100.0,500
54,初三,初三1班,英语,91.2,120.0,500
55,初三,初三1班,语文,116.1,150.0,500
56,初三,初三1班,道德与法治,76.7,100.0,500
57,初三,初三2班,历史,76.7,100.0,500
58,初三,初三2班,地理,76.6,100.0,500
59,初三,初三2班,数学,113.9,150.0,500
60,初三,初三2班,生物,75.6,100.0,500
61,初三,初三2班,英语,90.4,120.0,500
62,初三,初三2班,语文,114.8,150.0,500
63,初三,初三2班,道德与法治,75.3,100.0,500
64,初三,初三3班,历史,75.0,100.0,500
65,初三,初三3班,地理,74.1,100.0,500
66,初三,初三3班,数学,110.6,150.0,500
67,初三,初三3班,生物,74.3,100.0,500
68,初三,初三3班,英语,88.9,120.0,500
69,初三,初三3班,语文,110.1,150.0,500
70,初三,初三3班,道德与法治,73.1,100.0,500
71,初三,初三4班,历史,76.5,100.0,500
72,初三,初三4班,地理,77.0,100.0,500
73,初三,初三4班,数学,115.3,150.0,500
74,初三,初三4班,生物,76.8,100.0,500
75,初三,初三4班,英语,92.3,120.0,500
76,初三,初三4班,语文,116.1,150.0,500
77,初三,初三4班,道德与法治,77.2,100.0,500
78,初三,初三5班,历史,76.4,100.0,500
79,初三,初三5班,地理,76.2,100.0,500
80,初三,初三5班,数学,112.9,150.0,500
81,初三,初三5班,生物,76.3,100.0,500
82,初三,初三5班,英语,92.4,120.0,500
83,初三,初三5班,语文,115.7,150.0,500
84,初三,初三5班,道德与法治,75.9,100.0,500
85,初三,初三6班,历史,76.4,100.0,500
86,初三,初三6班,地理,75.8,100.0,500
87,初三,初三6班,数学,114.0,150.0,500
88,初三,初三6班,生物,75.6,100.0,500
89,初三,初三6班,英语,91.7,120.0,500
90,初三,初三6班,语文,113.9,150.0,500
91,初三,初三6班,道德与法治,75.2,100.0,500
92,初三,初三7班,历史,77.0,100.0,500
93,初三,初三7班,地理,77.5,100.0,500
94,初三,初三7班,数学,117.0,150.0,500
95,初三,初三7班,生物,77.7,100.0,500
96,初三,初三7班,英语,91.7,120.0,500
97,初三,初三7班,语文,115.3,150.0,500
98,初三,初三7班,道德与法治,77.1,100.0,500
99,初二,初二1班,历史,74.6,100.0,500
100,初二,初二1班,地理,74.6,100.0,500
101,初二,初二1班,数学,112.4,150.0,500
102,初二,初二1班,生物,75.3,100.0,500
103,初二,初二1班,英语,89.7,120.0,500
104,初二,初二1班,语文,111.6,150.0,500
105,初二,初二1班,道德与法治,73.8,100.0,500
106,初二,初二2班,历史,77.2,100.0,500
107,初二,初二2班,地理,76.3,100.0,500
108,初二,初二2班,数学,114.3,150.0,500
109,初二,初二2班,生物,76.2,100.0,500
110,初二,初二2班,英语,90.9,120.0,500
111,初二,初二2班,语文,114.7,150.0,500
112,初二,初二2班,道德与法治,76.0,100.0,500
113,初二,初二3班,历史,75.8,100.0,500
114,初二,初二3班,地理,76.2,100.0,500
115,初二,初二3班,数学,115.6,150.0,500
116,初二,初二3班,生物,76.8,100.0,500
117,初二,初二3班,英语,91.9,120.0,500
118,初二,初二3班,语文,114.8,150.0,500
119,初二,初二3班,道德与法治,77.4,100.0,500
120,初二,初二4班,历史,76.6,100.0,500
121,初二,初二4班,地理,77.4,100.0,500
122,初二,初二4班,数学,116.4,150.0,500
123,初二,初二4班,生物,76.9,100.0,500
124,初二,初二4班,英语,93.6,120.0,500
